workdir/satlib/uf50-218/uf50-0161,	156,	156,	0m3.683s,	0m3.647s,	0m0.033s,	0m13.166s,	0m13.113s,	0m0.050s,	202,	208
workdir/satlib/uf50-218/uf50-0162,	10,	10,	0m9.894s,	0m9.857s,	0m0.033s,	0m5.326s,	0m5.297s,	0m0.027s,	207,	204
workdir/satlib/uf50-218/uf50-0163,	16,	16,	0m3.954s,	0m3.930s,	0m0.020s,	0m8.762s,	0m8.733s,	0m0.023s,	205,	216
workdir/satlib/uf50-218/uf50-0164,	16,	16,	0m7.192s,	0m7.143s,	0m0.047s,	0m5.561s,	0m5.533s,	0m0.027s,	202,	212
workdir/satlib/uf50-218/uf50-0165,	62,	62,	0m9.837s,	0m9.810s,	0m0.010s,	0m18.992s,	0m18.913s,	0m0.060s,	204,	203
workdir/satlib/uf50-218/uf50-0166,	61,	61,	0m18.453s,	0m18.400s,	0m0.043s,	0m11.375s,	0m11.317s,	0m0.057s,	208,	206
workdir/satlib/uf50-218/uf50-0167,	356,	356,	0m7.155s,	0m7.133s,	0m0.020s,	0m9.639s,	0m9.607s,	0m0.023s,	203,	204
workdir/satlib/uf50-218/uf50-0168,	48,	48,	0m4.510s,	0m4.487s,	0m0.017s,	0m11.669s,	0m11.620s,	0m0.027s,	207,	207
workdir/satlib/uf50-218/uf50-0169,	979,	979,	0m25.462s,	0m25.367s,	0m0.083s,	0m10.599s,	0m10.533s,	0m0.050s,	212,	211
workdir/satlib/uf50-218/uf50-016,	115,	115,	0m4.147s,	0m4.127s,	0m0.017s,	0m5.911s,	0m5.903s,	0m0.003s,	212,	200
workdir/satlib/uf50-218/uf50-0170,	59,	59,	0m16.788s,	0m16.740s,	0m0.047s,	0m8.265s,	0m8.223s,	0m0.037s,	210,	210
workdir/satlib/uf50-218/uf50-0171,	94,	94,	0m14.399s,	0m14.357s,	0m0.037s,	0m6.571s,	0m6.530s,	0m0.027s,	210,	203
workdir/satlib/uf50-218/uf50-0172,	16,	16,	0m8.673s,	0m8.630s,	0m0.037s,	0m5.271s,	0m5.237s,	0m0.027s,	212,	203
workdir/satlib/uf50-218/uf50-0173,	22,	22,	0m3.454s,	0m3.433s,	0m0.017s,	0m4.318s,	0m4.290s,	0m0.027s,	208,	207
workdir/satlib/uf50-218/uf50-0174,	159,	159,	0m4.842s,	0m4.823s,	0m0.017s,	0m10.118s,	0m10.077s,	0m0.033s,	201,	207
workdir/satlib/uf50-218/uf50-0175,	36,	36,	0m6.684s,	0m6.653s,	0m0.027s,	0m6.103s,	0m6.073s,	0m0.027s,	205,	209
workdir/satlib/uf50-218/uf50-0176,	2,	2,	0m3.386s,	0m3.370s,	0m0.013s,	0m5.681s,	0m5.663s,	0m0.017s,	208,	204
workdir/satlib/uf50-218/uf50-0177,	24,	24,	0m20.303s,	0m20.240s,	0m0.057s,	0m10.669s,	0m10.613s,	0m0.040s,	207,	201
workdir/satlib/uf50-218/uf50-0178,	5648,	5648,	0m7.236s,	0m7.207s,	0m0.017s,	0m8.563s,	0m8.537s,	0m0.023s,	201,	199
workdir/satlib/uf50-218/uf50-0179,	36,	36,	0m4.344s,	0m4.310s,	0m0.030s,	0m13.332s,	0m13.303s,	0m0.027s,	204,	198
workdir/satlib/uf50-218/uf50-017,	33,	33,	0m11.721s,	0m11.677s,	0m0.037s,	0m6.314s,	0m6.277s,	0m0.030s,	203,	203
workdir/satlib/uf50-218/uf50-0180,	20,	20,	0m9.205s,	0m9.170s,	0m0.030s,	0m29.608s,	0m29.497s,	0m0.100s,	206,	209
workdir/satlib/uf50-218/uf50-0181,	2,	2,	0m5.462s,	0m5.443s,	0m0.017s,	0m4.178s,	0m4.163s,	0m0.013s,	207,	205
workdir/satlib/uf50-218/uf50-0182,	30,	30,	0m6.711s,	0m6.677s,	0m0.027s,	0m3.630s,	0m3.610s,	0m0.017s,	207,	204
workdir/satlib/uf50-218/uf50-0183,	6156,	6156,	0m2.822s,	0m2.787s,	0m0.030s,	0m22.667s,	0m22.523s,	0m0.093s,	207,	211
workdir/satlib/uf50-218/uf50-0184,	40,	40,	0m9.154s,	0m9.107s,	0m0.047s,	0m3.843s,	0m3.820s,	0m0.020s,	203,	205
workdir/satlib/uf50-218/uf50-0185,	916,	916,	0m9.794s,	0m9.760s,	0m0.027s,	0m9.726s,	0m9.680s,	0m0.030s,	205,	210
workdir/satlib/uf50-218/uf50-0186,	30,	30,	0m8.640s,	0m8.590s,	0m0.037s,	0m16.259s,	0m16.213s,	0m0.040s,	207,	202
workdir/satlib/uf50-218/uf50-0187,	55,	55,	0m12.844s,	0m12.810s,	0m0.030s,	0m14.303s,	0m14.270s,	0m0.030s,	205,	207
workdir/satlib/uf50-218/uf50-0188,	154,	154,	0m15.159s,	0m15.067s,	0m0.050s,	0m9.952s,	0m9.923s,	0m0.027s,	202,	194
workdir/satlib/uf50-218/uf50-0189,	50,	50,	0m10.668s,	0m10.603s,	0m0.043s,	0m15.443s,	0m15.380s,	0m0.040s,	204,	211
workdir/satlib/uf50-218/uf50-018,	1714,	1714,	0m11.413s,	0m11.380s,	0m0.030s,	0m6.111s,	0m6.067s,	0m0.043s,	206,	208
workdir/satlib/uf50-218/uf50-0190,	438,	438,	0m3.890s,	0m3.863s,	0m0.020s,	0m6.551s,	0m6.507s,	0m0.030s,	213,	209
workdir/satlib/uf50-218/uf50-0191,	5,	5,	0m3.458s,	0m3.440s,	0m0.017s,	0m27.254s,	0m27.143s,	0m0.070s,	205,	207
workdir/satlib/uf50-218/uf50-0192,	187,	187,	0m8.285s,	0m8.263s,	0m0.017s,	0m12.934s,	0m12.900s,	0m0.033s,	207,	212
workdir/satlib/uf50-218/uf50-0193,	200,	200,	0m9.606s,	0m9.587s,	0m0.017s,	0m20.386s,	0m20.340s,	0m0.043s,	210,	205
workdir/satlib/uf50-218/uf50-0194,	2,	2,	0m12.307s,	0m12.240s,	0m0.047s,	0m13.936s,	0m13.887s,	0m0.047s,	208,	204
workdir/satlib/uf50-218/uf50-0195,	365,	365,	0m8.270s,	0m8.220s,	0m0.030s,	0m4.039s,	0m4.010s,	0m0.023s,	202,	202
workdir/satlib/uf50-218/uf50-0196,	100,	100,	0m20.040s,	0m19.997s,	0m0.040s,	0m6.471s,	0m6.453s,	0m0.017s,	202,	206
